Product Name,Set Name,Sell Price
Absorb,Invasion,2.80
Land's Edge,Legends,16.62
Verdant Catacombs,Zendikar,44.99
Steam Vents,Return to Ravnica,14.70
Malignus,Avacyn Restored,2.51
Hurricane,Limited Edition Alpha,46.47
Rhox Faithmender,Magic 2013,4.44
Urza's Power Plant,Ninth Edition,4.20
"Darien, King of Kjeldor",Coldsnap,6.98
Stromkirk Noble,Innistrad,0.67
Verdant Succession,Odyssey,0.47
Dark Deal,Fate Reforged,0.29
Worldgorger Dragon,Judgment,1.53
Living Wish,Judgment,4.99
Cosi's Trickster,Zendikar,0.56
Disintegrate,Limited Edition Alpha,9.40
Swamp,Beatdown Box Set,0.41
Rakdos Pit Dragon,Dissension,0.76
Plains,,0.83
Liliana of the Dark Realms,Magic 2014 Core Set,8.04
Stitch in Time,Guildpact,3.87
Terminate,Alara Reborn,1.13
Palladium Myr,Scars of Mirrodin,0.62
Leonin Shikari,Darksteel,4.46
Ghostway,Guildpact,5.33
Who/What/When/Where/Why,Unhinged,3.12
Taurean Mauler,Morningtide,1.44
Price of Glory,Odyssey,4.44
Lethe Lake,Planechase,3.73
Black Knight,Unlimited Edition,5.22
Fumiko the Lowblood,Betrayers of Kamigawa,1.41
Cryptic Command,Modern Masters 2015 Edition,27.30
Myr Superion,New Phyrexia,1.69
Erratic Portal,Exodus,1.76
Reverberation,Legends,8.50
Squirrel Nest,Odyssey,0.90
Circle of Protection: Blue,Limited Edition Beta,1.17
Wanderwine Prophets,Lorwyn,10.68
Three Visits,Portal Three Kingdoms,61.49
Arid Mesa,Modern Masters 2017,30.82
Parallax Wave,Nemesis,4.58
Felidar Sovereign,Zendikar,1.55
Terminus,Avacyn Restored,1.23
Hinder,Champions of Kamigawa,1.36
Invigorate,Mercadian Masques,0.51
Cauldron of Souls,Shadowmoor,3.75
Imprison,Legends,17.10
Yawgmoth Demon,Antiquities,3.13
Eye for an Eye,Arabian Nights,4.87
Vesuvan Shapeshifter,Time Spiral,2.41
Wall of Air,Limited Edition Beta,5.30
Conversion,Limited Edition Beta,4.40
Triassic Egg,Legends,5.75
Balancing Act,Odyssey,0.45
Falkenrath Aristocrat,Dark Ascension,1.50
Pillaging Horde,Portal,0.74
Grand Coliseum,Onslaught,1.76
Crimson Manticore,Legends,1.65
Pestilence,Limited Edition Beta,4.66
Legion Loyalist,Gatecrash,5.17
Solemn Simulacrum,Mirrodin,5.24
Unmake,Archenemy,1.32
Forethought Amulet,Legends,12.11
Recoup,Odyssey,0.25
Breaking Point,Judgment,0.79
Debt of Loyalty,Weatherlight,4.95
Bastion Protector,Commander 2015,4.39
Tajuru Preserver,Rise of the Eldrazi,1.92
Island,Portal Second Age,0.20
Twincast,Magic 2010,2.88
Knacksaw Clique,Shadowmoor,3.26
Skycloud Expanse,Odyssey,5.68
Balthor the Defiled,Judgment,3.41
Gleeful Sabotage,Archenemy,1.99
Garruk Wildspeaker,Lorwyn,8.69
Wall of Bone,Limited Edition Beta,7.48
Lake of the Dead,Alliances,28.50
Ponder,Magic 2010,1.90
Lonely Sandbar,Onslaught,0.19
"Ryusei, the Falling Star",Modern Masters,1.50
Phyrexian Revoker,Mirrodin Besieged,1.23
Will-o'-the-Wisp,Fourth Edition,1.25
Eternal Witness,Modern Masters,6.64
Winter Orb,Revised Edition,4.01
Plains,Duel Decks: Sorin vs. Tibalt,0.24
Saproling Token (Invasion),Magic Player Rewards,7.99
Eternal Witness,Magic: The Gathering-Commander,6.10
Shared Animosity,Morningtide,14.73
Urza's Mine (Mouth),Antiquities,5.51
Gemstone Caverns,Time Spiral,9.99
Trinisphere,Darksteel,13.09
Icatian Store,Fallen Empires,0.51
Urborg,Legends,5.21
Mayael's Aria,Alara Reborn,4.67
Bear Umbra,Rise of the Eldrazi,6.99
City of Shadows,The Dark,12.99
Hellkite Tyrant,Gatecrash,3.00
Urabrask the Hidden,New Phyrexia,6.58
Tezzeret the Seeker,Modern Masters 2015 Edition,10.76
Slumbering Dragon,Magic 2013,1.94
Wild Ricochet,Lorwyn,0.57
Liliana's Specter,Game Day Promos,1.42
Eidolon of Countless Battles,Born of the Gods,0.59
Drown in Sorrow,Born of the Gods,0.28
Forest (331) ,Seventh Edition,0.27
Wall of Omens,Duel Decks: Sorin vs. Tibalt,1.95
Drawn Together,Unhinged,0.43
Keening Stone,Rise of the Eldrazi,1.79
Sakashima the Impostor,Saviors of Kamigawa,15.98
"Obzedat, Ghost Council",Gatecrash,1.47
Sylvan Safekeeper,Judgment,1.59
Chalice of the Void,Modern Masters,79.99
Merfolk Sovereign,Magic 2010,0.69
Goblin Bombardment,Duel Decks: Speed vs. Cunning,2.18
Arcades Sabboth,Legends,10.83
Radiate,Torment,1.64
Energy Flux,Antiquities,3.80
Incinerate,Magic Player Rewards,1.41
Primeval Titan,Modern Masters 2015 Edition,8.64
Twilight's Call,Invasion,0.54
Plains - Full Art,Unhinged,6.36
Winter Blast,Legends,4.39
Voidmage Prodigy,Magic Player Rewards,7.49
Frankie Peanuts,Unhinged,3.97
Brutal Hordechief,Fate Reforged,0.93
Urza's Power Plant (Sphere),Antiquities,3.86
Mana Matrix,Legends,47.10
Dryad Arbor,Future Sight,9.97
Eloren Wilds,Planechase,3.87
Field Marshal,Coldsnap,5.02
Eldrazi Monument,Zendikar,5.39
Shadow of Doubt,Ravnica: City of Guilds,4.91
Heart of Ramos,Mercadian Masques,0.50
Sol Ring,Unlimited Edition,24.99
Blood Crypt,Dissension,14.24
Godless Shrine,Gatecrash,12.00
"Urborg, Tomb of Yawgmoth",Magic 2015 Core Set,19.62
Bitterblossom,Morningtide,35.67
Oracle of Mul Daya,Zendikar,23.48
Kudzu,Limited Edition Beta,193.00
Cockatrice,Limited Edition Beta,53.73
"Sorin, Solemn Visitor",Khans of Tarkir,5.49
Smoke,Limited Edition Beta,47.65
Warp Artifact,Limited Edition Beta,54.86
Mox Opal,Scars of Mirrodin,71.09
Shahrazad,Arabian Nights,213.99
Triskelion,Antiquities,37.54
Path to Exile,WPN Promos,7.79
Nether Shadow,Fourth Edition,1.96
Thwart,Mercadian Masques,0.74
Angel of Mercy,Starter 1999,0.64
Oblivion Ring,Planechase,0.72
Sol Ring,Limited Edition Alpha,300.00
Copy Enchantment,Ravnica: City of Guilds,7.52
Anaba Ancestor,Homelands,0.72
Living End,Time Spiral,29.95
River of Tears,Future Sight,5.22
Academy Ruins,Modern Masters,21.93
Bloodstained Mire,Khans of Tarkir,17.78
Sliver Hivelord,Magic 2015 Core Set,10.50
Mutagenic Growth,Modern Masters 2015 Edition,1.30
"Nylea, God of the Hunt",Theros,5.11
Energy Chamber,Duel Decks: Elspeth vs. Tezzeret,0.91
Remand,Modern Masters 2015 Edition,5.72
Harmonize,Magic: The Gathering-Commander,1.05
Thragtusk,Magic 2013,1.63
Vorapede,Dark Ascension,1.08
Jungle Lion,Portal,0.74
Meglonoth,Conflux,0.88
Martyr of Sands,Coldsnap,1.68
"Crovax, Ascendant Hero",Planar Chaos,1.37
Hellkite Charger,Modern Masters 2015 Edition,0.67
Wildfire,Seventh Edition,0.51
Faerie Conclave,Urza's Legacy,1.24
Burning-Tree Shaman,Guildpact,1.30
Scion of the Ur-Dragon,Time Spiral,4.74
Jester's Cap,Fifth Edition,2.28
Return to Dust,Time Spiral,1.85
Elixir of Immortality,Duel Decks: Elspeth vs. Tezzeret,0.68
Feldon's Cane,Antiquities,2.32
Bronze Tablet,Antiquities,1.95
Overburden,Prophecy,4.19
Quicksilver Dragon,Duel Decks: Jace vs. Chandra,0.67
Barbarian Ring,Odyssey,0.47
Frenetic Sliver,Planar Chaos,0.40
Mishra's Factory,Duel Decks: Elspeth vs. Tezzeret,1.50
Mountain (A),Unlimited Edition,0.82
Blast from the Past,Unhinged,3.98
Surgical Extraction,New Phyrexia,19.30
Samite Healer,Limited Edition Beta,0.94
Wirewood Symbiote,Scourge,0.96
Second Chance,Urza's Legacy,3.39
Ancestral Memories,Seventh Edition,0.31
Last Stand,Apocalypse,0.35
Archfiend of Depravity,Fate Reforged,0.82
Izzet Charm,Return to Ravnica,0.32
Reality Smasher,Oath of the Gatewatch,3.79
"Szadek, Lord of Secrets",Ravnica: City of Guilds,0.79
Rakdos Charm,Return to Ravnica,0.23
Old Fogey,Unhinged,3.31
Wellwisher,Duel Decks: Elves vs. Goblins,1.11
Marauding Knight,Invasion,0.43
Putrefy,Magic Player Rewards,3.72
Martyrs of Korlis,Antiquities,5.27
Relentless Rats,Magic 2010,2.18
Thoughtseize,Lorwyn,30.98
Pariah,Tenth Edition,1.80
Sakura-Tribe Elder,Commander 2013 Edition,0.67
Brain Freeze,Scourge,1.10
Steelshaper Apprentice,Darksteel,0.64
Steely Resolve,Onslaught,8.32
Seat of the Synod,Mirrodin,1.25
Kargan Dragonlord,Rise of the Eldrazi,5.73
Gauntlet of Might,Limited Edition Beta,737.24
Mox Pearl,Limited Edition Beta,1449.99
"Cao Ren, Wei Commander",Portal Three Kingdoms,14.93
Caverns of Despair,Legends,28.48
Mana Leak,Magic Player Rewards,11.69
Thunderblust,Eventide,0.75
Purify,Urza's Legacy,0.33
World-Bottling Kit,Unhinged,0.56
Red Elemental Blast,Unlimited Edition,1.81
Djinn Illuminatus,Guildpact,0.47
Rancor,Magic 2013,1.66
Rites of Flourishing,Magic 2012,1.01
Swamp - Full Art,Unhinged,8.80
Pyromancer's Goggles,Magic Origins,3.10
Jace's Phantasm,Magic 2013,1.05
Soulfire Grand Master,Fate Reforged,2.46
"Teysa, Orzhov Scion",Guildpact,3.14
Soulless One,Onslaught,1.38
Pemmin's Aura,Scourge,1.14
Ponder,Magic 2012,1.95
The Chain Veil,Magic 2015 Core Set,4.36
Entreat the Angels,Avacyn Restored,2.93
Blinkmoth Urn,Mirrodin,1.51
Thought Scour,Dark Ascension,0.78
"Thalia, Guardian of Thraben",Dark Ascension,19.34
Royal Trooper,Starter 1999,0.47
Vedalken Orrery,Conspiracy,12.88
Experiment One,Gatecrash,1.13
"Gwafa Hazid, Profiteer",Conflux,1.05
Voracious Dragon,Conflux,0.83
Terra Stomper,Zendikar,0.55
Planar Birth,Urza's Saga,0.86
Counterbalance,Coldsnap,4.75
"Urborg, Tomb of Yawgmoth",Planar Chaos,22.53
Brand,Urza's Saga,1.24
Mana Reflection,Shadowmoor,26.59
Phyrexian Altar,Invasion,35.98
Primeval Titan,Magic 2011,8.64
Island,,1.12
Pristine Angel,Darksteel,1.22
Kaervek the Merciless,Time Spiral,3.35
Galvanic Blast,Scars of Mirrodin,0.79
Sage of Fables,Morningtide,3.66
Ancient Den,Mirrodin,2.56
Natural Order,Portal,16.74
Vampiric Tutor,Visions,37.44
Karmic Justice,Odyssey,4.28
Bane of Progress,Commander 2015,2.65
Jandor's Saddlebags,Arabian Nights,11.74
Celestial Mantle,Zendikar,3.64
Curse of the Cabal,Time Spiral,1.49
"Tibalt, the Fiend-Blooded",Avacyn Restored,2.71
Wicked Pact,Starter 1999,0.88
Blinding Light,Starter 1999,0.74
Forest,,1.01
High Tide,Fallen Empires,0.74
Incandescent Soulstoke,Modern Masters 2015 Edition,0.65
Nature's Lore,Portal,1.44
Shrieking Specter,Starter 1999,0.93
Breaking // Entering,Dragon's Maze,0.81
"Alesha, Who Smiles at Death",Fate Reforged,0.40
Thoughtcast,Mirrodin,0.35
Gruul Turf,Guildpact,0.31
Remove Soul,Magic Player Rewards,0.55
Bant,Planechase,3.51
Righteousness,Limited Edition Beta,26.05
Diabolic Tutor,Odyssey,0.58
Mana Confluence,Journey into Nyx,7.45
Acid Rain,Legends,42.79
Lavaclaw Reaches,Worldwake,1.90
Ivory Guardians,Legends,0.42
Nicol Bolas,Chronicles,2.43
Vicious Shadows,Shards of Alara,1.59
Ethersworn Adjudicator,Conflux,2.28
Beast Within,Planechase 2012 Edition,2.27
"Kagemaro, First to Suffer",Saviors of Kamigawa,1.50
Crypt Ghast,Gatecrash,2.98
Palladia-Mors,Legends,15.28
Leyline of Anticipation,Magic 2011,11.84
Voidmage Husher,Media Promos,3.15
Vernal Bloom,Seventh Edition,2.25
Reveillark,Modern Masters,3.11
Verdeloth the Ancient,Modern Masters,0.66
High Tide,Fallen Empires,0.74
High Tide,Fallen Empires,0.74
Fire Diamond,Seventh Edition,0.41
Crosis's Catacombs,Planeshift,1.09
Puca's Mischief,Shadowmoor,3.75
Rout,Conspiracy,0.98
Black Mana Battery,Legends,1.06
"Ach! Hans, Run!",Unhinged,1.28
Forest,Mirage,0.18
Slate of Ancestry,Ninth Edition,2.89
Sea Serpent,Limited Edition Beta,0.93
Sakura-Tribe Elder,Champions of Kamigawa,0.66
Island Sanctuary,Fifth Edition,0.70
Forest,Ice Age,0.18
Lethal Vapors,Scourge,1.10
Mishra's Workshop,Antiquities,1020.00
Narcomoeba,Future Sight,2.86
Marton Stromgald,Ice Age,2.71
Bitter Ordeal,Future Sight,7.56
Reality Shift,Fate Reforged,0.31
Cover of Darkness,Onslaught,7.41
Shaman of the Great Hunt,Fate Reforged,0.75
Gate to the AEther,Mirrodin,1.16
Mind Stone,Gateway Promos,0.73
Seedborn Muse,Ninth Edition,23.52
Deus of Calamity,Duel Decks: Heroes vs. Monsters,0.99
Storage Matrix,Urza's Destiny,0.61
Liability,Mercadian Masques,0.40
Underworld Cerberus,Theros,0.64
Sinew Sliver,Planar Chaos,2.63
Crusade,Fourth Edition,0.86
Myojin of Cleansing Fire,Champions of Kamigawa,2.99
Goblin Commando,Starter 1999,1.89
Fireball,Limited Edition Beta,13.23
Bridge from Below,Modern Masters,7.26
Door of Destinies,Morningtide,5.75
Ogre Arsonist,Portal Second Age,1.95
Eye of Ugin,Worldwake,7.12
Temporal Trespass,Fate Reforged,2.08
Predatory Nightstalker,Portal Second Age,7.43
Rally the Ancestors,Fate Reforged,0.70
"Tasigur, the Golden Fang",Fate Reforged,2.05
Wear // Tear,Dragon's Maze,1.13
Lim-Dul's Vault,Commander 2013 Edition,1.73
Lovisa Coldeyes,Coldsnap,0.89
Desolation Angel,Apocalypse,1.00
Bazaar Trader,Worldwake,0.96
Dack Fayden,Conspiracy,13.99
The Abyss,Legends,575.00
Cathedral of Serra,Legends,1.88
AErathi Berserker,Legends,0.53
Boom // Bust,Planar Chaos,4.05
Undermine,Duel Decks: Ajani vs. Nicol Bolas,1.41
Hide // Seek,Dissension,3.38
Gatekeeper of Malakir,Zendikar,1.53
World at War,Rise of the Eldrazi,2.17
Assault // Battery,Planechase,0.98
Reiterate,Time Spiral,7.31
Magus of the Disk,Time Spiral,1.44
Coastal Wizard,Portal Second Age,3.99
Echo Chamber,Tempest,0.43
Seedguide Ash,Lorwyn,0.50
Volcanic Island,Revised Edition,395.99
Veteran Bodyguard,Limited Edition Beta,75.00
Will-o'-the-Wisp,Unlimited Edition,11.45
Rubinia Soulsinger,Legends,9.19
Mana Tithe,Magic Player Rewards,4.65
Spoils of the Vault,Mirrodin,3.48
Primal Vigor,Commander 2013 Edition,15.49
"Arjun, the Shifting Flame",Commander 2015,1.47
Fatespinner,Mirrodin,5.69
Well of Lost Dreams,Darksteel,2.59
Treetop Village,Urza's Legacy,1.20
Consecrate Land,Limited Edition Beta,2.91
Lightning Bolt,Magic 2011,2.69
Island (236) - Full Art,Zendikar,1.60
Mountain,Beatdown Box Set,0.37
Sosuke's Summons,Betrayers of Kamigawa,1.14
Ice Storm,Limited Edition Beta,74.00
Skirk Prospector,Duel Decks: Knights vs. Dragons,0.30
Cabal Coffers,Torment,23.77
Dragonmaster Outcast,Worldwake,3.94
Knight Exemplar,Magic 2011,2.57
Pariah,Urza's Saga,1.20
Soul Warden,Planechase,0.99
"Ixidor, Reality Sculptor",Onslaught,0.62
Sunpetal Grove,Magic 2011,2.57
Serra Angel,Tenth Edition,0.42
Conjurer's Closet,Commander 2013 Edition,1.77
Dwynen's Elite,Magic Origins,1.24
Distortion Strike,Rise of the Eldrazi,1.20
Mind Stone,Duel Decks: Jace vs. Chandra,0.83
Throne of Bone,Unlimited Edition,0.44
Relentless Assault,Portal Second Age,0.87
Wild Research,Apocalypse,1.20
Dimir Cutpurse,Ravnica: City of Guilds,0.71
Veteran Bodyguard,Limited Edition Alpha,106.50
Nightmare,Limited Edition Beta,90.00
Juggernaut,Limited Edition Beta,30.00
"Treva, the Renewer",Duel Decks: Phyrexia vs. the Coalition,1.01
Ingot Chewer,Duel Decks: Jace vs. Chandra,0.55
Leonin Abunas,Archenemy,3.50
Light from Within,Eventide,1.98
Daring Apprentice,Seventh Edition,0.35
The Dark Barony,Planechase,3.95
Enchantress's Presence,Onslaught,10.44
"Keiga, the Tide Star",Modern Masters,4.35
Razormane Masticore,Tenth Edition,0.34
Immersturm,Planechase,3.89
Yet Another AEther Vortex,Unhinged,1.00
Invoke the Firemind,Duel Decks: Izzet vs. Golgari,0.45
Wild Nacatl,Duel Decks: Ajani vs. Nicol Bolas,1.75
Countersquall,Duel Decks: Ajani vs. Nicol Bolas,4.56
Steel Overseer,Duel Decks: Elspeth vs. Tezzeret,14.50
Thirst for Knowledge,Duel Decks: Elspeth vs. Tezzeret,1.54
Carrion Feeder,Duel Decks: Phyrexia vs. the Coalition,0.96
Swamp (B),Unlimited Edition,0.99
Phyrexian Arena,Duel Decks: Phyrexia vs. the Coalition,6.27
Phyrexian Processor,Duel Decks: Phyrexia vs. the Coalition,1.40
Shifting Sliver,Legions,1.65
Yavimaya Elder,Duel Decks: Phyrexia vs. the Coalition,1.34
Worn Powerstone,Duel Decks: Phyrexia vs. the Coalition,0.99
Whispersilk Cloak,Duel Decks: Phyrexia vs. the Coalition,0.73
Copperline Gorge,Scars of Mirrodin,9.40
Elvish Harbinger,Duel Decks: Elves vs. Goblins,2.45
Rod of Spanking,Unhinged,0.92
Blood Speaker,Champions of Kamigawa,0.43
Primordial Hydra,Magic 2013,6.75
Deity of Scars,Eventide,3.19
Preeminent Captain,Morningtide,1.15
Goblin Matron,Duel Decks: Elves vs. Goblins,1.62
Mogg War Marshal,Duel Decks: Elves vs. Goblins,0.72
Gempalm Incinerator,Duel Decks: Elves vs. Goblins,1.29
Skirk Fire Marshal,Duel Decks: Elves vs. Goblins,0.92
Timberwatch Elf,Duel Decks: Elves vs. Goblins,0.82
Wirewood Lodge,Duel Decks: Elves vs. Goblins,3.11
Teferi's Puzzle Box,Seventh Edition,5.74
Wood Elves,Duel Decks: Elves vs. Goblins,0.36
Harmonize,Duel Decks: Elves vs. Goblins,1.21
Lady Evangela,Legends,28.25
Dark Ritual,Duel Decks: Divine vs. Demonic,1.86
Subterranean Tremors,Conspiracy: Take the Crown,1.95
Luminous Angel,Duel Decks: Divine vs. Demonic,1.56
Reya Dawnbringer,Duel Decks: Divine vs. Demonic,1.53
Dragonspeaker Shaman,Duel Decks: Knights vs. Dragons,3.59
Silver Knight,Duel Decks: Knights vs. Dragons,0.92
Kinsbaile Cavalier,Duel Decks: Knights vs. Dragons,1.34
Loxodon Warhammer,Duel Decks: Knights vs. Dragons,1.08
Spidersilk Armor,Duel Decks: Knights vs. Dragons,2.84
Treetop Village,Duel Decks: Knights vs. Dragons,1.58
Thunder Dragon,Duel Decks: Knights vs. Dragons,1.39
Knight Exemplar,Duel Decks: Knights vs. Dragons,2.51
Nature's Lore,Duel Decks: Garruk vs. Liliana,1.77
"Strategy, Schmategy",Unglued,12.31
Skullcrack,Gatecrash,1.26
"Haakon, Stromgald Scourge",Coldsnap,3.00
Bloom Tender,Eventide,29.96
Kilnmouth Dragon,Archenemy,1.36
Sunscour,Coldsnap,0.89
Hythonia the Cruel,Theros,0.69
Glasses of Urza,Limited Edition Beta,4.88
Expedition Map,Zendikar,2.99
Unwinding Clock,New Phyrexia,5.99
Diregraf Ghoul,Game Day Promos,1.43
Artifact Mutation,Invasion,1.77
Millstone,Antiquities,2.96
"Dralnu, Lich Lord",Time Spiral,1.36
Banefire,Conflux,1.24
Flamebreak,Darksteel,0.98
Tainted Peak,Torment,1.86
Zoologist,Odyssey,0.44
Chance Encounter,Odyssey,3.70
Heartless Hidetsugu,Betrayers of Kamigawa,0.90
Dragonlord Atarka,Dragons of Tarkir,6.13
Fraction Jackson,Unhinged,0.47
Jade Statue,Limited Edition Beta,12.83
"Jaya Ballard, Task Mage",Time Spiral,0.78
Witch-Maw Nephilim,Guildpact,0.92
Nix,Future Sight,0.69
Doomsday Specter,Planeshift,0.59
Guardian Seraph,Magic 2010,0.59
Exotic Orchard,Planechase 2012 Edition,1.17
Karplusan Forest,Ninth Edition,4.01
Mirri the Cursed,Planar Chaos,2.56
Sleight of Hand,Ninth Edition,4.98
Aura of Silence,Tenth Edition,1.99
Pithing Needle,Saviors of Kamigawa,5.90
Everflowing Chalice,Modern Masters 2015 Edition,0.48
Tidebinder Mage,Magic 2014 Core Set,0.68
Decimate,Conspiracy,1.65
Temple of the False God,Scourge,0.60
Treasure Hunt,Magic Player Rewards,2.66
Bitterblossom,Modern Masters 2015 Edition,33.81
Phyrexian Delver,Invasion,0.50
Circular Logic,Torment,5.00
Deep-Sea Kraken,Time Spiral,0.72
Forest,,1.01
Grafted Wargear,Fifth Dawn,1.72
Water Gun Balloon Game,Unhinged,1.98
"Masumaro, First to Live",Saviors of Kamigawa,0.59
Goblin King,Revised Edition,1.50
Pentarch Paladin,Time Spiral,0.97
Leyline of Sanctity,Modern Masters 2015 Edition,27.17
Plains,,0.83
Patron of the Kitsune,Betrayers of Kamigawa,0.67
Rotting Rats,Planechase,0.38
Rift Bolt,Modern Masters,1.50
Go for the Throat,Mirrodin Besieged,1.36
Funeral Charm,"Time Spiral ""Timeshifted""",1.88
Scythe of the Wretched,Mirrodin,1.63
Pact of Negation,Future Sight,31.49
Mutavault,Magic 2014 Core Set,14.49
Mindbreak Trap,Zendikar,10.00
Halimar Depths,Worldwake,0.67
Quicksilver Amulet,Magic 2012,7.50
Mistblade Shinobi,Planechase 2012 Edition,0.34
Yawgmoth's Bargain,Urza's Destiny,8.90
Femeref Enchantress,Visions,3.49
Drogskol Reaver,Dark Ascension,1.99
Purelace,Limited Edition Beta,30.05
Kudzu,Unlimited Edition,3.04
Imperial Hellkite,Legions,0.55
Koskun Falls,Homelands,3.38
Avatar of the Resolute,Dragons of Tarkir,1.78
Zodiac Horse,Portal Three Kingdoms,6.65
Dragon Tempest,Dragons of Tarkir,1.23
Library of Leng,Limited Edition Alpha,43.75
Lightning Axe,Shadows over Innistrad,0.55
Epic Struggle,Judgment,1.78
Impact Tremors,Dragons of Tarkir,0.42
Sarkhan Unbroken,Dragons of Tarkir,10.49
Awakening Zone,Planechase Anthology,3.23
Lure of Prey,Mirage,2.78
Forest,,1.01
Thunderbreak Regent,Dragons of Tarkir,1.85
Ancestral Mask,Mercadian Masques,0.53
Sundering Titan,Archenemy,4.31
Plains,,0.83
Blinkmoth Nexus,Modern Masters 2015 Edition,5.58
Electrolyze,Modern Masters 2015 Edition,0.54
Ambassador Laquatus,Torment,0.92
Elixir of Immortality,Magic 2014 Core Set,0.42
"Kokusho, the Evening Star",Modern Masters,12.42
Smoldering Marsh,Battle for Zendikar,1.53
Gaea's Herald,Eighth Edition,0.87
Lord of Atlantis,Fifth Edition,4.80
Brainstorm,Conspiracy,0.95
Explosive Vegetation,Duel Decks: Elspeth vs. Kiora,0.92
Elvish Champion,Seventh Edition,5.83
Stone-Throwing Devils,Arabian Nights,3.61
Pulsemage Advocate,Judgment,0.50
Horde of Notions,Modern Masters 2015 Edition,0.45
Armageddon,Anthologies,3.69
Champion of Lambholt,Avacyn Restored,1.48
Laboratory Maniac,Innistrad,6.66
Brushland,Seventh Edition,7.48
Dire Undercurrents,Shadowmoor,3.22
Perilous Forays,Ravnica: City of Guilds,1.70
Whispers of the Muse,"Time Spiral ""Timeshifted""",0.31
Flooded Strand,Onslaught,26.77
Counterspell,Limited Edition Beta,195.64
Knight of the White Orchid,Magic Origins,1.18
Gyre Sage,Gatecrash,1.92
Lore Seeker,Conspiracy,0.44
Nourishing Shoal,Betrayers of Kamigawa,6.28
Kilnmouth Dragon,Legions,1.09
Gavony Township,Innistrad,6.02
Profane Command,Modern Masters 2015 Edition,0.51
Spectral Procession,Modern Masters 2015 Edition,0.41
Swans of Bryn Argoll,Modern Masters 2015 Edition,1.86
"Erayo, Soratami Ascendant",Saviors of Kamigawa,6.82
"Niv-Mizzet, the Firemind",Modern Masters 2015 Edition,1.63
Sunforger,Modern Masters 2015 Edition,0.69
Starfield of Nyx,Magic Origins,2.91
All Is Dust,Modern Masters 2015 Edition,21.00
Steal Artifact,Limited Edition Alpha,13.98
Dragonlord Kolaghan,Dragons of Tarkir,3.95
Archetype of Courage,Born of the Gods,0.96
Sterling Grove,Invasion,7.50
Birds of Paradise,Ravnica: City of Guilds,6.65
Disallow,Aether Revolt,5.57
Sire of Stagnation,Battle for Zendikar,0.81
Verdant Force,Tenth Edition,0.69
Tendo Ice Bridge,Betrayers of Kamigawa,3.95
Snow-Covered Mountain,Coldsnap,2.50
Necroskitter,Eventide,3.46
Decimate,Odyssey,1.86
Goblin Assault,Shards of Alara,1.15
"Emrakul, the Aeons Torn",Modern Masters 2015 Edition,41.76
Ojutai Exemplars,Dragons of Tarkir,0.78
Liliana of the Dark Realms,Magic 2013,8.05
Necroskitter,Modern Masters 2015 Edition,3.13
Ring of Three Wishes,Magic 2014 Core Set,2.68
Mayor of Avabruck,Innistrad,4.06
Chlorophant,Odyssey,0.70
Faithless Looting,Media Promos,9.25
Laquatus's Champion,Torment,0.67
Ebon Dragon,Portal,3.45
Island (237) - Full Art,Zendikar,0.52
Deadeye Navigator,Avacyn Restored,1.31
Mutavault,Morningtide,16.00
Burrenton Forge-Tender,Lorwyn,1.29
Dark Confidant,Modern Masters 2015 Edition,47.50
Life from the Loam,Ravnica: City of Guilds,16.70
Armageddon,Portal,5.64
Aetherworks Marvel,Kaladesh,1.26
Spire of Industry,Aether Revolt,2.99
Shu Soldier-Farmers,Portal Three Kingdoms,2.35
Pulmonic Sliver,Time Spiral,3.54
Swamp,Beatdown Box Set,0.41
Searing Blaze,Worldwake,1.39
Patron of the Nezumi,Betrayers of Kamigawa,0.37
Glimmervoid,Mirrodin,16.56
Gemstone Array,Fifth Dawn,1.00
"Ajani, Mentor of Heroes",Journey into Nyx,14.99
Attrition,Urza's Destiny,6.10
Arcbound Slith,Planechase,0.49
Spreading Seas,Zendikar,3.36
Descent of the Dragons,Dragons of Tarkir,1.94
Consuming Vapors,Rise of the Eldrazi,0.78
Meekstone,Seventh Edition,3.93
Hand of Honor,Saviors of Kamigawa,0.90
Sensation Gorger,Morningtide,1.35
Bloodbraid Elf,Alara Reborn,3.53
Tawnos's Coffin,Antiquities,73.95
Ghirapur AEther Grid,Magic Origins,0.21
Soul of Ravnica,Magic 2015 Core Set,0.61
Sacrifice,Limited Edition Alpha,15.97
High Tide,Media Promos,18.22
Caged Sun,Commander 2014,7.73
Languish,Magic Origins,0.85
Dramatic Entrance,Shadowmoor,1.54
Day's Undoing,Magic Origins,2.69
Underground River,Deckmasters Garfield vs Finkel,3.76
Skyline Despot,Conspiracy: Take the Crown,1.25
Swamp - Guru,Guru Lands,260.00
Plains - Guru,Guru Lands,261.15
Blackcleave Cliffs,Scars of Mirrodin,20.05
Grim Haruspex,Ugin's Fate Promos,7.53
Genju of the Realm,Betrayers of Kamigawa,3.31
Jace Beleren,Magic 2011,7.39
Wildcall,Ugin's Fate Promos,3.89
Secure the Wastes,Dragons of Tarkir,2.03
Jeering Instigator,Ugin's Fate Promos,2.80
Arc Lightning,Ugin's Fate Promos,1.48
Sultai Emissary,Ugin's Fate Promos,1.57
Wargate,Alara Reborn,4.18
Briber's Purse,Ugin's Fate Promos,0.98
"Jareth, Leonine Titan",Onslaught,1.42
Shared Triumph,Onslaught,1.99
Glowrider,Legions,0.51
